Date,League,HomeTeam,AwayTeam,HomeScore,AwayScore,OU_Line,TotalPoints,OU_Result,Home_Avg_Pts_For,Home_Avg_Pts_Against,Away_Avg_Pts_For,Away_Avg_Pts_Against,Avg_Pts_For_Diff,Avg_Pts_Against_Diff
2022-11-02,NCAAB,North,East,99,51,145.0,150,1,99.0,51.0,51.0,99.0,48.0,-48.0
2022-11-02,NCAAB,Oral,Ut,57,69,136.0,126,0,57.0,69.0,69.0,57.0,-12.0,12.0
2022-11-02,NCAAB,Memphis,Alabama,88,67,151.0,155,1,88.0,67.0,67.0,88.0,21.0,-21.0
2022-11-02,NCAAB,Missouri,Illinois,48,91,153.0,139,0,48.0,91.0,91.0,48.0,-43.0,43.0
2022-11-02,NCAAB,Saint,Northern,63,58,131.0,121,0,63.0,58.0,58.0,63.0,5.0,-5.0
2022-11-02,NCAAB,Byu,Eastern,109,81,168.0,190,1,109.0,81.0,72.5,89.5,36.5,-8.5
2022-11-02,NCAAB,Oklahoma,Stetson,107,54,148.0,161,1,107.0,54.0,54.0,107.0,53.0,-53.0
2022-11-02,NCAAB,Texas,Maryland-Eastern,94,71,140.0,165,1,81.0,73.0,71.0,94.0,10.0,-21.0
2022-11-02,NCAAB,Creighton,Utah,92,69,148.0,161,1,92.0,69.0,69.0,92.0,23.0,-23.0
2022-11-02,NCAAB,High,Bryant,93,47,153.0,140,0,93.0,47.0,47.0,93.0,46.0,-46.0
2022-11-02,NCAAB,Utsa,Seattle,68,71,149.0,139,0,68.0,71.0,71.0,68.0,-3.0,3.0
2022-11-02,NCAAB,Florida,Jacksonville,87,63,160.0,150,0,87.0,63.0,63.0,87.0,24.0,-24.0
2022-11-02,NCAAB,Duquesne,Canisius,103,59,143.0,162,1,103.0,59.0,59.0,103.0,44.0,-44.0
2022-11-02,NCAAB,Indiana,Siena,81,60,145.0,141,0,81.0,60.0,60.0,81.0,21.0,-21.0
2022-11-02,NCAAB,Texas,Abilene,68,75,138.0,143,1,85.33333333333333,72.33333333333333,75.0,68.0,10.333333333333329,4.333333333333329
2022-11-02,NCAAB,Tulsa,Denver,90,85,160.0,175,1,90.0,85.0,85.0,90.0,5.0,-5.0
2022-11-02,NCAAB,Georgia,West,103,74,173.0,177,1,103.0,74.0,74.0,103.0,29.0,-29.0
2022-11-02,NCAAB,Butler,Njit,101,52,149.0,153,1,101.0,52.0,52.0,101.0,49.0,-49.0
2022-11-02,NCAAB,Fordham,New,65,47,127.0,112,0,65.0,47.0,47.0,65.0,18.0,-18.0
2022-11-02,NCAAB,Wright,Eastern,70,64,143.0,134,0,70.0,64.0,75.33333333333333,96.0,-5.333333333333329,-32.0
2022-11-03,NCAAB,North,East,99,51,145.0,150,1,99.0,51.0,51.0,99.0,48.0,-48.0
2022-11-03,NCAAB,Oral,Ut,57,69,136.0,126,0,57.0,69.0,69.0,57.0,-12.0,12.0
2022-11-03,NCAAB,Memphis,Alabama,88,67,151.0,155,1,88.0,67.0,67.0,88.0,21.0,-21.0
2022-11-03,NCAAB,Missouri,Illinois,48,91,153.0,139,0,48.0,91.0,91.0,48.0,-43.0,43.0
2022-11-03,NCAAB,Saint,Northern,63,58,131.0,121,0,63.0,58.0,58.0,63.0,5.0,-5.0
2022-11-03,NCAAB,Byu,Eastern,109,81,168.0,190,1,109.0,81.0,72.5,89.5,36.5,-8.5
2022-11-03,NCAAB,Oklahoma,Stetson,107,54,148.0,161,1,107.0,54.0,54.0,107.0,53.0,-53.0
2022-11-03,NCAAB,Texas,Maryland-Eastern,94,71,140.0,165,1,81.0,73.0,71.0,94.0,10.0,-21.0
2022-11-03,NCAAB,Creighton,Utah,92,69,148.0,161,1,92.0,69.0,69.0,92.0,23.0,-23.0
2022-11-03,NCAAB,High,Bryant,93,47,153.0,140,0,93.0,47.0,47.0,93.0,46.0,-46.0
2022-11-03,NCAAB,Utsa,Seattle,68,71,149.0,139,0,68.0,71.0,71.0,68.0,-3.0,3.0
2022-11-03,NCAAB,Florida,Jacksonville,87,63,160.0,150,0,87.0,63.0,63.0,87.0,24.0,-24.0
2022-11-03,NCAAB,Fordham,New,65,47,127.0,112,0,65.0,47.0,47.0,65.0,18.0,-18.0
2022-11-03,NCAAB,Butler,Njit,101,52,149.0,153,1,101.0,52.0,52.0,101.0,49.0,-49.0
2022-11-03,NCAAB,Georgia,West,103,74,173.0,177,1,103.0,74.0,74.0,103.0,29.0,-29.0
2022-11-03,NCAAB,Tulsa,Denver,90,85,160.0,175,1,90.0,85.0,85.0,90.0,5.0,-5.0
2022-11-03,NCAAB,Wright,Eastern,70,64,143.0,134,0,70.0,64.0,74.2,93.4,-4.200000000000003,-29.400000000000006
2022-11-03,NCAAB,Texas,Abilene,68,75,138.0,143,1,83.6,72.6,75.0,68.0,8.599999999999994,4.599999999999994
2022-11-03,NCAAB,Indiana,Siena,81,60,145.0,141,0,81.0,60.0,60.0,81.0,21.0,-21.0
2022-11-03,NCAAB,Duquesne,Canisius,103,59,143.0,162,1,103.0,59.0,59.0,103.0,44.0,-44.0
2022-11-04,NCAAB,High,Bryant,93,47,153.0,140,0,93.0,47.0,47.0,93.0,46.0,-46.0
2022-11-04,NCAAB,Byu,Eastern,109,81,168.0,190,1,109.0,81.0,72.5,89.5,36.5,-8.5
2022-11-04,NCAAB,Creighton,Utah,92,69,148.0,161,1,92.0,69.0,69.0,92.0,23.0,-23.0
2022-11-04,NCAAB,Missouri,Illinois,48,91,153.0,139,0,48.0,91.0,91.0,48.0,-43.0,43.0
2022-11-04,NCAAB,Memphis,Alabama,88,67,151.0,155,1,88.0,67.0,67.0,88.0,21.0,-21.0
2022-11-04,NCAAB,Oral,Ut,57,69,136.0,126,0,57.0,69.0,69.0,57.0,-12.0,12.0
2022-11-04,NCAAB,North,East,99,51,145.0,150,1,99.0,51.0,51.0,99.0,48.0,-48.0
2022-11-04,NCAAB,Texas,Maryland-Eastern,94,71,140.0,165,1,81.0,73.0,71.0,94.0,10.0,-21.0
2022-11-04,NCAAB,Saint,Northern,63,58,131.0,121,0,63.0,58.0,58.0,63.0,5.0,-5.0
2022-11-04,NCAAB,Oklahoma,Stetson,107,54,148.0,161,1,107.0,54.0,54.0,107.0,53.0,-53.0
2022-11-04,NCAAB,Wright,Eastern,70,64,143.0,134,0,70.0,64.0,73.71428571428571,92.28571428571429,-3.714285714285708,-28.285714285714292
2022-11-04,NCAAB,Duquesne,Canisius,103,59,143.0,162,1,103.0,59.0,59.0,103.0,44.0,-44.0
2022-11-04,NCAAB,Indiana,Siena,81,60,145.0,141,0,81.0,60.0,60.0,81.0,21.0,-21.0
2022-11-04,NCAAB,Texas,Abilene,68,75,138.0,143,1,82.85714285714286,72.71428571428571,75.0,68.0,7.857142857142861,4.714285714285708
2022-11-04,NCAAB,Utsa,Seattle,68,71,149.0,139,0,68.0,71.0,71.0,68.0,-3.0,3.0
2022-11-04,NCAAB,Tulsa,Denver,90,85,160.0,175,1,90.0,85.0,85.0,90.0,5.0,-5.0
2022-11-04,NCAAB,Georgia,West,103,74,173.0,177,1,103.0,74.0,74.0,103.0,29.0,-29.0
2022-11-04,NCAAB,Butler,Njit,101,52,149.0,153,1,101.0,52.0,52.0,101.0,49.0,-49.0
2022-11-04,NCAAB,Fordham,New,65,47,127.0,112,0,65.0,47.0,47.0,65.0,18.0,-18.0
2022-11-04,NCAAB,Florida,Jacksonville,87,63,160.0,150,0,87.0,63.0,63.0,87.0,24.0,-24.0
2022-11-05,NCAAB,North,East,99,51,145.0,150,1,99.0,51.0,51.0,99.0,48.0,-48.0
2022-11-05,NCAAB,Oral,Ut,57,69,136.0,126,0,57.0,69.0,69.0,57.0,-12.0,12.0
2022-11-05,NCAAB,Memphis,Alabama,88,67,151.0,155,1,88.0,67.0,67.0,88.0,21.0,-21.0
2022-11-05,NCAAB,Texas,Maryland-Eastern,94,71,140.0,165,1,81.0,73.0,71.0,94.0,10.0,-21.0
2022-11-05,NCAAB,Creighton,Utah,92,69,148.0,161,1,92.0,69.0,69.0,92.0,23.0,-23.0
2022-11-05,NCAAB,Byu,Eastern,109,81,168.0,190,1,109.0,81.0,72.5,89.5,36.5,-8.5
2022-11-05,NCAAB,Oklahoma,Stetson,107,54,148.0,161,1,107.0,54.0,54.0,107.0,53.0,-53.0
2022-11-05,NCAAB,Missouri,Illinois,48,91,153.0,139,0,48.0,91.0,91.0,48.0,-43.0,43.0
2022-11-05,NCAAB,High,Bryant,93,47,153.0,140,0,93.0,47.0,47.0,93.0,46.0,-46.0
2022-11-05,NCAAB,Saint,Northern,63,58,131.0,121,0,63.0,58.0,58.0,63.0,5.0,-5.0
2022-11-05,NCAAB,Florida,Jacksonville,87,63,160.0,150,0,87.0,63.0,63.0,87.0,24.0,-24.0
2022-11-05,NCAAB,Duquesne,Canisius,103,59,143.0,162,1,103.0,59.0,59.0,103.0,44.0,-44.0
2022-11-05,NCAAB,Indiana,Siena,81,60,145.0,141,0,81.0,60.0,60.0,81.0,21.0,-21.0
2022-11-05,NCAAB,Texas,Abilene,68,75,138.0,143,1,82.44444444444444,72.77777777777777,75.0,68.0,7.444444444444443,4.7777777777777715
2022-11-05,NCAAB,Utsa,Seattle,68,71,149.0,139,0,68.0,71.0,71.0,68.0,-3.0,3.0
2022-11-05,NCAAB,Tulsa,Denver,90,85,160.0,175,1,90.0,85.0,85.0,90.0,5.0,-5.0
2022-11-05,NCAAB,Georgia,West,103,74,173.0,177,1,103.0,74.0,74.0,103.0,29.0,-29.0
2022-11-05,NCAAB,Butler,Njit,101,52,149.0,153,1,101.0,52.0,52.0,101.0,49.0,-49.0
2022-11-05,NCAAB,Fordham,New,65,47,127.0,112,0,65.0,47.0,47.0,65.0,18.0,-18.0
2022-11-05,NCAAB,Wright,Eastern,70,64,143.0,134,0,70.0,64.0,73.44444444444444,91.66666666666667,-3.444444444444443,-27.66666666666667
2022-11-06,NCAAB,Illinois,Western,68,71,148.0,139,0,91.0,48.0,55.0,68.0,36.0,-20.0
2022-11-06,NCAAB,Missouri,Southern,97,91,141.0,188,1,48.0,91.0,94.0,63.0,-46.0,28.0
2022-11-06,NCAAB,New,Southern,89,81,155.0,170,1,47.0,65.0,92.5,80.0,-45.5,-15.0
2022-11-06,NCAAB,Uc,Seattle,71,85,145.0,156,1,70.5,73.5,71.0,68.0,-0.5,5.5
2022-11-06,NCAAB,Saint,Oral,78,70,142.0,148,1,63.0,58.0,57.0,69.0,6.0,-11.0
2022-11-06,NCAAB,Oklahoma,Ut,77,66,134.0,143,1,107.0,54.0,69.0,57.0,38.0,-3.0
2022-11-06,NCAAB,North,Unc,69,56,151.0,125,0,88.28571428571429,55.42857142857143,98.0,95.0,-9.714285714285708,-39.57142857142857
2022-11-06,NCAAB,Illinois,Eastern,87,57,134.0,144,1,87.16666666666667,51.833333333333336,72.5,89.5,14.666666666666671,-37.666666666666664
2022-11-06,NCAAB,Michigan,Northern,73,55,143.0,128,0,75.0,56.0,57.833333333333336,65.66666666666667,17.166666666666664,-9.666666666666671
2022-11-06,NCAAB,Mississippi,Texas,63,44,141.0,107,0,73.0,58.0,79.7,73.1,-6.700000000000003,-15.099999999999994
2022-11-06,NCAAB,St.,St.,71,58,140.0,129,0,60.0,72.0,60.0,72.0,0.0,0.0
2022-11-07,NCAAB,Creighton,St.,72,60,149.0,132,0,88.66666666666667,67.5,63.0,67.0,25.66666666666667,0.5
2022-11-07,NCAAB,Ucf,Unc,95,98,141.0,193,1,95.0,98.0,77.0,82.0,18.0,16.0
2022-11-07,NCAAB,Abilene,Jackson,65,56,141.0,121,0,73.33333333333333,66.0,56.0,65.0,17.33333333333333,1.0
2022-11-07,NCAAB,Florida,Stony,81,45,144.0,126,0,84.28571428571429,60.142857142857146,45.0,81.0,39.28571428571429,-20.857142857142854
2022-11-07,NCAAB,Arkansas,North,76,58,142.0,134,0,76.0,58.0,85.875,55.5,-9.875,2.5
2022-11-07,NCAAB,Southern,Little,94,63,134.0,157,1,88.66666666666667,83.0,63.0,94.0,25.66666666666667,-11.0
2022-11-07,NCAAB,Boston,Cornell,79,77,144.0,156,1,75.5,70.0,77.0,79.0,-1.5,-9.0
2022-11-07,NCAAB,Loyola,Fdu,88,82,144.0,170,1,77.0,77.0,82.0,88.0,-5.0,-11.0
2022-11-07,NCAAB,Georgia,Western,68,55,142.0,123,0,97.16666666666667,70.83333333333333,63.0,68.0,34.16666666666667,2.8333333333333286
2022-11-07,NCAAB,Syracuse,Lehigh,90,72,143.0,162,1,90.0,72.0,72.0,90.0,18.0,-18.0
2022-11-07,NCAAB,Northwestern,Chicago,85,54,140.0,139,0,85.0,54.0,54.0,85.0,31.0,-31.0
2022-11-07,NCAAB,Illinois,Western,68,71,148.0,139,0,87.14285714285714,52.57142857142857,60.333333333333336,68.0,26.809523809523803,-15.42857142857143
2022-11-07,NCAAB,Incarnate,North,57,65,142.0,122,0,57.0,65.0,82.77777777777777,57.77777777777778,-25.77777777777777,7.222222222222221
2022-11-07,NCAAB,Missouri,Southern,97,91,141.0,188,1,56.166666666666664,91.0,90.0,78.0,-33.833333333333336,13.0
2022-11-07,NCAAB,Colorado,Uc,82,66,136.0,148,1,73.5,64.5,70.66666666666667,77.33333333333333,2.8333333333333286,-12.833333333333329
2022-11-07,NCAAB,Wichita,Central,79,55,146.0,134,0,79.0,55.0,61.0,86.5,18.0,-31.5
2022-11-07,NCAAB,Colorado,Gardner-Webb,65,63,137.0,128,0,76.33333333333333,65.0,63.0,65.0,13.333333333333329,0.0
2022-11-07,NCAAB,Ucla,Sacramento,76,50,136.0,126,0,76.0,50.0,50.0,76.0,26.0,-26.0
2022-11-07,NCAAB,Washington,Weber,69,52,140.0,121,0,69.0,52.0,52.0,69.0,17.0,-17.0
