Date,League,HomeTeam,AwayTeam,HomeScore,AwayScore,OU_Line,TotalPoints,OU_Result,Home_Avg_MOV,Home_Avg_Pts_For,Home_Avg_Pts_Against,Home_Avg_OU_Hit_Rate,Away_Avg_MOV,Away_Avg_Pts_For,Away_Avg_Pts_Against,Away_Avg_OU_Hit_Rate,Avg_MOV_Diff,Avg_Pts_For_Diff,Avg_Pts_Against_Diff,Avg_OU_Hit_Rate_Diff
2022-11-07,NBA,Indiana,New,129,122,233.0,251,1,9.3,102.6,93.3,0.5,-6.9,90.5,97.4,0.4,16.200000000000003,12.099999999999994,-4.1000000000000085,0.09999999999999998
2022-11-08,NBA,Brooklyn,New,112,85,221.0,197,0,0.0,110.0,110.0,0.3,-5.2,90.0,95.2,0.5,5.2,20.0,14.799999999999997,-0.2
2022-11-08,NBA,San,Memphis,122,124,234.0,246,1,4.5,98.8,94.3,0.6,7.9,107.1,99.2,0.5,-3.4000000000000004,-8.299999999999997,-4.900000000000006,0.09999999999999998
2022-11-09,NBA,San,Memphis,122,124,234.0,246,1,8.1,101.4,93.3,0.6,7.1,106.1,99.0,0.5,1.0,-4.699999999999989,-5.700000000000003,0.09999999999999998
2022-11-09,NBA,Brooklyn,New,112,85,221.0,197,0,1.7,110.5,108.8,0.3,-6.1,93.8,99.9,0.5,7.8,16.700000000000003,8.899999999999991,-0.2
2022-11-10,NCAAB,Texas,Texas,78,54,141.0,132,0,-0.2,71.0,71.2,0.6,-0.2,71.0,71.2,0.6,0.0,0.0,0.0,0.0
2022-11-12,NBA,Los,Brooklyn,95,110,212.0,205,0,-2.8,111.7,114.5,0.6,6.6,110.9,104.3,0.2,-9.399999999999999,0.7999999999999972,10.200000000000003,0.39999999999999997
2022-11-12,NBA,Washington,Utah,121,112,222.0,233,1,-3.3,91.4,94.7,0.3,-0.5,100.8,101.3,0.7,-2.8,-9.399999999999991,-6.599999999999994,-0.39999999999999997
2022-11-13,NBA,New,Oklahoma,135,145,227.0,280,1,-7.5,94.1,101.6,0.6,12.5,86.0,73.5,0.6,-20.0,8.099999999999994,28.099999999999994,0.0
2022-11-13,NBA,Washington,Memphis,102,92,217.0,194,0,-3.3,91.9,95.2,0.3,5.8,106.0,100.2,0.6,-9.1,-14.099999999999994,-5.0,-0.3
2022-11-14,NBA,Golden,San,132,95,234.0,227,0,3.2,115.9,112.7,0.7,9.5,95.4,85.9,0.8,-6.3,20.5,26.799999999999997,-0.10000000000000009
2022-11-14,NBA,Boston,Oklahoma,126,122,229.0,248,1,6.1,96.9,90.8,0.8,5.8,88.2,82.4,0.6,0.2999999999999998,8.700000000000003,8.399999999999991,0.20000000000000007
2022-11-14,NCAAB,Florida,Florida,74,76,145.0,150,1,16.0,78.6,62.6,0.2,16.0,78.6,62.6,0.2,0.0,0.0,0.0,0.0
2022-11-15,NBA,New,Memphis,113,102,224.0,215,0,-7.0,95.8,102.8,0.6,4.9,102.9,98.0,0.5,-11.9,-7.1000000000000085,4.799999999999997,0.09999999999999998
2022-11-15,NBA,Utah,New,111,118,232.0,229,0,1.8,96.9,95.1,0.8,-5.6,95.0,100.6,0.5,7.3999999999999995,1.9000000000000057,-5.5,0.30000000000000004
